PROPERTY,BLOK,unit,NAMA BLOK,NOMOR,cust,price,status,year,month,Cluster
1,142,0,10,1,37,0,1,0,6,1
1,143,0,10,2,7,0,1,0,2,1
1,144,0,10,3,124,0,1,0,2,1
1,145,0,10,4,100,0,1,0,2,1
1,146,0,10,5,41,0,1,0,10,1
1,147,0,10,7,149,0,1,0,3,1
1,148,0,10,8,128,0,1,0,11,1
1,149,0,10,9,5,0,1,0,4,1
1,150,0,10,10,34,0,0,0,5,1
1,151,0,10,11,101,0,1,0,1,1
1,152,0,10,12,129,0,1,0,8,1
1,153,0,10,13,129,0,1,0,7,1
1,154,0,10,14,114,0,1,0,10,1
1,155,0,10,15,70,0,1,0,11,1
1,156,0,10,16,72,0,0,0,10,1
1,157,0,10,17,145,0,1,0,3,1
1,158,0,11,1,84,0,1,0,3,1
1,159,0,11,2,96,0,1,0,4,1
1,160,0,11,3,3,0,1,0,10,1
1,161,0,11,4,13,0,1,0,9,1
1,162,0,11,5,17,0,0,0,5,1
1,163,0,11,6,19,0,1,0,1,1
1,164,0,11,7,22,0,1,0,2,1
1,165,0,11,8,29,0,1,0,0,1
1,166,0,11,9,32,0,0,0,8,1
1,167,0,11,10,33,0,1,0,2,1
1,168,0,11,11,45,0,0,0,3,1
1,169,0,11,12,49,0,1,0,9,1
1,170,0,11,13,50,0,1,0,2,1
1,171,0,11,14,54,0,1,0,10,1
1,172,0,11,15,61,0,1,0,1,1
1,173,0,11,16,65,0,1,0,0,1
1,174,0,11,17,68,0,1,0,3,1
1,175,0,12,1,69,0,1,0,9,1
1,176,0,12,2,74,0,0,0,4,1
1,177,0,12,3,80,0,1,0,4,1
1,178,0,12,4,87,0,1,0,3,1
1,179,0,12,5,90,0,0,0,11,1
1,180,0,12,6,91,0,1,0,2,1
1,181,0,12,7,93,0,1,0,3,1
1,182,0,12,8,94,0,1,0,11,1
1,183,0,12,9,95,0,1,0,11,1
1,184,0,12,10,97,0,1,0,9,1
1,185,0,12,11,8,0,1,0,6,1
1,186,0,12,12,12,0,1,0,11,1
1,187,0,12,13,15,0,1,0,1,1
1,188,0,12,14,21,0,1,0,11,1
1,189,0,12,15,24,0,1,0,7,1
1,190,0,12,16,28,0,0,0,8,1
1,191,0,12,17,31,0,1,0,10,1
1,192,0,12,18,38,0,1,0,10,1
1,193,0,12,19,46,0,0,0,5,1
1,194,0,12,20,47,0,1,0,9,1
1,195,0,12,21,52,0,1,0,1,1
1,196,0,12,22,56,0,1,0,1,1
1,197,0,12,23,64,0,1,0,6,1
